Prestamos,Depositos,Tasa,Arrendamientos,Activos
553.7675,1949.561,7.75,1631.5002,2669.6899
555.1597,1938.0872,8.14,1637.1969,2667.2629
556.7288,1954.5854,8.25,1646.9841,2670.7532
552.098,1950.539,8.25,1645.7964,2661.6693
550.7233,1952.0519,8.25,1655.0914,2674.0255
557.0195,1965.0137,8.7,1677.4213,2713.7495
560.2135,1979.907,9.07,1691.3279,2740.7569
560.9244,1991.108,8.78,1692.5194,2744.8787
566.5206,2007.7672,8.75,1706.478,2761.7511
565.7276,2010.8688,8.75,1715.3645,2767.0383
568.3614,2002.5107,8.51,1720.5476,2765.9783
574.0948,2008.8903,8.5,1732.2486,2772.0245
581.6184,2031.7556,8.5,1754.4223,2807.4456
587.5862,2036.9886,8.84,1772.5103,2823.3378
591.1796,2057.9417,9,1788.9053,2851.9283
592.7022,2066.8775,9.29,1797.4898,2863.1603
591.5174,2065.5445,9.84,1807.5736,2863.075
591.2183,2077.4532,10,1813.9251,2883.6892
596.66,2094.4116,10,1828.7322,2907.0612
599.9527,2112.9063,10.05,1839.7515,2930.7322
605.7564,2138.5483,10.5,1856.7825,2956.8733
604.1324,2137.0693,10.5,1855.1798,2954.6429
616.6014,2132.1576,10.93,1876.0845,2970.7701
619.1875,2140.334,11.5,1882.3253,2973.5395
623.4407,2159.0087,11.5,1896.5692,2987.5212
628.1248,2146.6427,11.5,1908.7017,2999.1205
626.4638,2154.8613,11.07,1923.4706,3009.7274
629.9924,2176.6339,10.98,1937.3493,3036.0006
632.4577,2177.2837,10.5,1951.4218,3054.0535
632.8844,2196.3536,10.5,1967.1572,3083.9045
637.2803,2222.4368,10.5,1984.1308,3113.032
639.0977,2235.9481,10.5,1992.7195,3132.726
638.3891,2265.4254,10.5,2000.5553,3163.5609
632.9655,2262.6839,10.11,1994.7676,3160.9575
635.8008,2253.0248,10,2000.6975,3160.894
641.1962,2258.0963,10,2008.4914,3177.5313
645.2505,2279.2515,10,2021.2156,3195.5415
643.4183,2270.5772,10,2029.5276,3190.3985
643.5061,2293.082,10,2041.2385,3224.7666
639.0777,2307.9823,10,2042.5053,3237.9379
637.7593,2309.3817,10,2059.1215,3268.3032
635.4856,2317.9146,10,2062.1367,3280.9279
635.6388,2320.6356,10,2071.5977,3283.1327
638.9922,2331.0613,10,2076.1825,3299.4085
641.9638,2364.9685,10,2091.4656,3315.4431
633.1742,2358.9971,9.52,2077.7362,3282.0012
635.0636,2372.5318,9.05,2084.7246,3288.6853
638.2928,2390.8002,9,2085.5662,3296.7266
635.7611,2413.9225,9,2086.7542,3300.9574
631.0703,2410.1001,8.5,2082.1797,3281.4348
628.1952,2425.2269,8.5,2086.0912,3295.8013
622.6579,2429.074,8.5,2071.685,3282.4589
615.8168,2441.3843,8.5,2065.8376,3294.3524
616.7396,2452.1308,8.2,2071.1667,3323.6743
618.8955,2450.9335,8,2075.0076,3344.7576
618.2401,2479.4632,7.58,2080.2524,3382.5858
618.3621,2495.0716,7.21,2090.3647,3400.92
610.8545,2482.4847,6.5,2083.2764,3398.7135
609.2603,2478.5936,6.5,2080.4828,3396.0688
610.5367,2491.5426,6.5,2080.079,3399.0256
608.7587,2495.3821,6.5,2086.356,3408.0089
605.3502,2473.2626,6.5,2075.3799,3384.9675
602.7208,2480.9253,6.5,2079.6443,3404.4214
598.8481,2471.3851,6.02,2065.5951,3389.4042
594.5844,2473.7641,6,2065.4136,3404.708
594.7444,2489.1573,6,2078.4723,3439.3039
594.7105,2495.3911,6,2080.3323,3447.2575
596.3976,2513.6162,6,2084.5015,3477.9526
596.0031,2528.6159,6,2093.4807,3492.3281
593.2091,2494.6245,6,2083.8904,3459.3754
593.4956,2485.1196,6,2078.0727,3455.2614
594.4078,2485.9876,6,2078.0304,3470.188
590.0208,2503.1655,6,2080.6435,3485.6602
591.2285,2511.1192,6,2094.9144,3503.7301
591.8446,2520.326,6,2114.2334,3541.3259
587.601,2510.3822,6,2123.7987,3555.653
584.6127,2508.2927,6,2125.7658,3565.9777
581.8573,2523.2334,6,2136.9922,3595.5874
581.7561,2516.6614,6,2144.1675,3591.3899
583.1517,2543.1775,6,2159.0559,3619.692
582.8848,2566.4108,6,2176.8311,3649.9427
585.5685,2539.1086,6,2171.8512,3667.9955
588.6758,2519.681,6,2175.3716,3672.4021
597.8574,2507.7594,6.06,2183.1924,3685.428
605.0496,2512.0055,6.45,2197.3284,3701.883
608.3717,2509.9735,6.99,2201.9684,3709.7482
610.4947,2510.0916,7.25,2215.3449,3720.4891
615.957,2511.5462,7.25,2240.5291,3748.8579
618.2437,2509.3232,7.51,2260.2302,3757.727
621.3604,2521.1815,7.75,2279.6907,3781.6905
629.5241,2526.7035,7.75,2299.7394,3809.1023
637.2752,2543.8567,8.15,2319.5683,3835.0045
642.6727,2566.1886,8.5,2354.6244,3873.7364
652.7363,2550.9607,8.5,2370.4849,3893.9467
667.9365,2538.7882,9,2387.9964,3899.269
676.6338,2538.681,9,2403.4836,3923.3428
682.8063,2559.4377,9,2425.6626,3992.5481
690.2417,2560.5986,9,2453.1989,4008.1457
692.1632,2584.6043,9,2475.4239,4027.7658
697.2989,2602.889,8.8,2499.7305,4053.9896
697.5647,2607.5824,8.75,2511.9763,4061.4583
702.3079,2628.8632,8.75,2536.8919,4110.4923
704.6163,2642.2636,8.75,2541.5575,4135.4594
711.5602,2654.5041,8.75,2559.5973,4158.171
714.2085,2687.0451,8.65,2579.8749,4206.9708
720.3786,2688.8166,8.5,2596.8306,4224.5688
726.2534,2668.5121,8.25,2597.2309,4202.3128
